"id","review","review_rating"
1,"1st shipment received a book instead of the game.2nd shipment got a FAKE one. Game arrived with a wrong key inside on sealed box. I got in contact with codemasters and send them pictures of the DVD and the content. They said nothing they can do its a fake DVD.Returned it good bye.!",1
2,"I still haven't figured this one out. Did everything as instructed but the game never installed. Strange. Since I don't like to rate on something I couldn't get to work, I'll just say that I didn't like it because I couldn't get it to work :P For those that did manage to get it installed, I'm sure it's a great game. I had the first Dirt and it was a scream! Too bad this one bombed. Maybe a bad disc...",2
3,"I bought this and the key didn't work.  It was a gift, and the recipient wasn't able to solve the problem.  It might have been a good game, but I never found out because the key failed.",1
4,"I love it! Use it all the time. Really works perfectly with all games that you need a mic for.",5
5,"my grandkids (and their parents) love playing with the microphone along with the guitar we got.this really is a lot of fun for everyone.  would totally recommend getting this if someone has an interest in music (singing)...",5
6,"The greatest bait and switch betrayal of a fanbase in videogaming history and most hated game of all time.To begin I will provide Amazon's customer base the &#34;tale of the turd&#34; as I call it in relation to this abomination's &#34;quality&#34; or rather lackthereof:Gameplay: Utterly challengeless. A lobotomy patient, a two year old drooling baby in a feces filled diaper or even an individual with a severe case of down syndrome could easily complete this game in a single sitting with minimal effort. Just mash buttons or &#34;spam&#34; the controls as PC gamers would say and you'll eventually complete this atrocious slap in the face Disney level Aonuma dreck.Graphics: Hideous, vomit inducing, ridiculous, teletubbies-esque, bait and switch from what we were originally promised at Spaceworld 2000 (realistic style epic, cool and beautiful graphics with a decidedly Lord Of The Rings style flare) Also there are ugly and gaudy white lines that appear all throughout Wand Wacker indicating Nintendo was not able to polish this turd before release. Oh what a shame.Sound: The only redeemable inspiring thing about this Aonuma dud is the ocean music likely composed by Koji Kondo. The rest is detestable Saturday morning cartoon level kiddy drivel. Soccer moms and grandparents should approve. Real Zelda fans can only vomit at this level of disrespect Nintendo has stooped to in order to insult us.Theme: Near total rip off of Kevin Costner's Water World to such a great extent I fully believe Costner could probably win a lawsuit against Nintendo for royalties if he so desired. Needless to say this watery environment is not what true Zelda fans look forward to when we go to pick up a new Zelda game. No, what we're looking for is the green forests and fields of Hyrule proper, not some watery grave that sits atop it for reasons likely relating to Aonuma's child learning how to bathe for the first time and Aonuma getting inspired to make Zelda into a giant bathing simulator via Wand Wacker. I've said it before and I'll say it again Nintendo needs to fire Eiji Aonuma and his entire Zelda team and get normal people developing the Zelda series again for it to return to health.Commentary: The online game journalists also known as professional liars can attempt to re-write history all they like but The Legend Of Celda: Wand Wacker will go down as the most hated videogame of all time and the greatest betrayal of a fanbase in gaming history.This was Nintendo, Miyamoto and Eiji Aonuma's Vince Mcmahon esque &#34;Screw you!&#34; to the true Zelda fanbase and by true Zelda fanbase I'm not referring to the scumbag sycophants that populate online gaming message forums but the market in general who determines whether videogames become massive successes or massive failures and the true Zelda fans spoke loud and clear not once but twice.Two whole times on that Wand Wacker piece of dog excrement first with its original Gamecube release and second with its Wii U HD re-release that this is not the way that they envisioned the Legend Of Zelda series, this is not the way they wanted it to go and as a result Wand Wacker flopped mightily BOTH times as such a Benedict Arnold or Rosenbergs esque betrayal is destined to do.To rephrase a quote from Ridley Scott's Gladiator: &#34;Marcus Aurelius had a dream that was Zelda and this is not it, THIS IS NOT IT!&#34;We were lied to and led to believe that the epic, cool, badass, Spaceworld 2000 realistically presented Zelda would be what we would soon be getting on the Gamecube but then much later the bait and switch hideously deformed Celda Wand Wacker made its debut to boos and hisses worldwide and massive hate on the internet was poured it and Nintendo's way (before the damage control brainwashing took effect which has left a dishonest internet forum gaming community in its wake who pretends to love Wand Wacker in order to shill and run damage control for Nintendo while real Zelda fans have abandoned Nintendo due to its betrayal of them for the other consoles or PC gaming if they haven't simply upped and left gaming in disgusting over this nasty unnecessary debacle and betrayal of Zelda's true fans.Eiji Aonuma the hack no talent Jimmy Fallon Of Japan enabled by the out of touch Shigeru Miyamoto has been ruining the Zelda series since he took up its reigns to create the embarrassment known as Majora's Mask.Aonuma's first game &#34;Marvelous&#34; failed (MARVELOUSLY!) and he had no credentials at all to be given the Zelda series but insanely Nintendo gave it to him and ever since he's been driving Zelda along with it's sales figures into the ground making one boring puzzle filled bad NPC filled faux Zelda game after another.When the truth of the matter is Zelda is supposed to be an arcade action adventure sword and sorcery game with light RPG elements thrown in for good measure.Aonuma completely butchers this formula in favor of the boring garbage gameplay elements he prefers and the market lets him know what it thinks of his efforts by making sure his version of Zelda ends up in the bomba discount gaming bins where such low quality trash belongs.In anycase to re-iterate so as to set this very important point in stone once more:Wand Wacker offers up literally no gameplay challenge whatsoever and can be completed by a lobotomy patient (as is typical of Aonuma offerings).Conclusion: My rating of this turd is 1 star since I can't give it lower due to how Amazon's system is set up.",1
7,"I've bought these before.  They slip right on and unless you get one with an obvious defect, they should last for years.  These are a must have if you are afraid of your kids messing up your controllers.  Then again, maybe they should get their own! lol",5
8,"It works perfectly! Nothing is wrong with it.",5
9,"just right! works great , I' ll be ordering again laters! hope you will still be there then! see you!",5
10,"Works perfectly for the game cube I purchased. Came very quickly and i would buy this again when i need to.",5
11,"I bought this because I recently bought a gamecube for old times sake. This memory card works great, and was one of the cheaper cards.",5
12,"I bought these to extend the length of the game cube controller reach. Everyone that uses these has no issues with poor controller reaction times and can sit just about anywhere to play.",5
13,"Works exactly as advertised. Bought these along with a 2-pack of controllers for the GameCube, as my TV is a ways away from my couch and i wanted to play multi-player with my wife. The controller plugs into the extension cable about as snugly as the controller (and the other end of the extension cable) plugs into the GameCube, which is to say plenty snug enough to keep it in while moving the controller and cable around semi-violently, but not snug enough to keep a controller attached after being thrown across the room (just an example). One major concern I did have when I bough these was the possibility of lag due to the signal from the controller having to travel farther. This concern was unwarranted, as I have noticed no difference in response time either way. On durability, I've had these for almost 2 years and they haven't shown any noticeable signs of wear. Throw in a reasonable price ($4 when I bought it from Amermedia in 2012) and this is a heck of a deal for people that need a product like this. I would recommend.",5
14,"They work fine but i feel like they have a little lag to the controls when i use it on my controller. And out of the two, one is already ripping. They get the job done but i dont think they will last very long.",3
15,"This Cable extender worked great! I used it when and had absolutely no problems with it at all! It adds a good 6ft of extra cable length. I tried hooking two together and I found no extra input lag using these cables.Great if you need the extra cable!",5
16,"One of them broke immediately, the other one still works, I guess they're just too cheap and there's no telling if it will actually work longer than two days.",3
17,"haven't play for long time and love this game as enjoy play. it good play game I guess well alright",5
18,"Love the game thanks!This game is great from the look and the level of detail and the combat. Thanks",5
19,"Looking anywhere else people will charge more than $80 for an old wonderful game like this. Classic games like these are hard to come by, wish I had traded in LESS of my games when I was young.",5
20,"Megaman legends is capcoms answer to bringing Megaman into the 3d realm on the original playstation. However this game is extremly diffrent then any other megaman game out there. In fact it has a lot in common with zelda: ocarina of time and a few rpg elements such as final fantasy while still somewhat feeling like a Megaman game. Coming from the NES and SNES Megamans I never thought I would ever compare zelda and megaman together but surprisingly it works well. Its not the greatest  game or even the greatest megaman game ever but it is really fun in its own way.Most people do not like the graphics in this game but i think there done really well. The only problem graghicly is due to the early psx hardware most 3d games looked blocky and pixely at the time and this on tries to smooth things out kinda cel shadish but not quite this leads to some blockeness but its still better then most 1998 and before graphics. Kinda a 3d playable anime style to it. The sound isn't to bad in this game. Voice acting can be really good or painfully bad andThe music is catchy maybe not as much as the nes megamans but still good. However there is moments without any music. Technically speaking I would say the game has aged well.The thing I find most memorable about this game is the gameplay. Like I mentioned earlier this game takes megaman into zelda like enviorments with a few rpgs elements. There is a open world which was decent in size for its time, which the game takes place in a small town. There are dungeons to explore which you do so in order to find upgrades to your equipment. Speaking of which you can purchase and find diffrent armor and weopens with diffrent specs (attack, fire rate, etc) in a rpg like menu. With that being said it still manages to feel like a megaman game. There is plenty of missions of which you are running and gunning while jumping on platforms. The bosses while set up like zelda can be taken down easier by weopens you find around in dungeons.As for the story it isn't to bad. It is a little childish but its still pretty good. The characters while the voice acting can be off at times can be good are very memorable. Tron Bonne makes her debut here as a villian who became popular enough to get her own game misadventures of tron bonne and a apperance in marvel vs. capcom 2 and appearing without megaman in the 3rd. There is also a N64 port of this game which isnt as good but if you dont have a psx its still playable plus a sequel. Anyway while the hardcore 8bit megaman players may be turned off by this i would still recomend getting this game",5
21,"Well as far as the person who sold this to me goes, the game came as described and in a well timed manner and I would shop here again.  However, the game itself is just not as fun as I remembered.",3
22,"Game works great, amazing story that brings back childhood memories, i love it!!! Awesome game to have that is old school.",5
23,"I remember Tekken 2 being one of my first fighting games I have ever played, and one that I kept coming back to. It wasn't just the nostalgia that kept me coming back, but the overall gameplay as well. Almost everything about this game was done right, and there is very little to complain about.Tekken 2 takes place 2 years after the events of the first Tekken. The plot isn't very well developed and isn't really involving, but everything else more than makes up for it. The graphics (for the time) were amazing and the animations were also nicely done. The roster includes 24 characters who are all unique and feel very well balanced. The game is very accessible and almost anyone can pick up this game and get a pretty decent grasp on it. The controls are simple and intuitive, and I always believed that this control scheme (each button controls a limb-ex. left punch, right punch) is one of the best for fighting games.For modes, you have your basic arcade mode which you complete to unlock new characters. You also have a vs. mode, a team battle mode (which is very enjoyable), a survival mode, a time attack mode, and a practice mode. All of these modes offer allot of replayability as it is easy to dump countless hours into any of these modes.The combat system is still excellent to this day. The amount of combos that each character can do is pretty substantial and you will discover new moves without being too overwhelmed. There also aren't really any cheap tactics unlike some of the more recent iterations of tekken (such as excessive juggling).Overall, this game is one of the best fighting games that I have ever played. With plenty of characters to learn, plenty of modes to choose from, amazing looking backgrounds, and a terriffic combat system, there is no reason to skip this game. If you still have a ps1/ps2, BUY THIS GAME. I recommend this game wholeheartedly, and you won't regret it at all.",5
24,"what is there to say. this game has everything you want in a fighting game! plenty of characters to choose from and the gameplay is top notch for a ps1 game. definitely one of my favorites!",5
25,"First and best, good to play with friends but this game can be a bit aimless at times.  Haven't touched it in years though.",3
